企業完整名稱,102-1_組織名稱,102-2_活動、品牌、產品與服務,102-3_總部位置,102-4_營運活動地點,102-5_所有權與法律形式,102-6_提供服務的市場,102-7_組織規模,102-8_員工與其他工作者的資訊,102-9_供應鏈,102-10_組織與其供應鏈的重大改變,102-11_預警原則與方針,102-12_外部倡議,102-13_公協會的會員資格,102-14_決策者的聲明,102-15_關鍵衝擊、風險及機會,102-16_價值、原則、標準及行為規範,102-17_關於倫理之建議與顧慮的機制,102-18_治理結構,102-19_委任權責,102-20_管理階層負責經濟、環境和社會主題,102-21_與利害關係人諮商經濟、環境和社會主題,102-22_最高治理單位與其委員會的組成,102-23_最高治理單位的主席,102-24_最高治理單位的提名與遴選,102-25_利益衝突,102-26_最高治理單位在設立宗旨、價值觀及策略的角色,102-27_最高治理單位的群體智識,102-28_最高治理單位的績效評估,102-29_鑑別與管理經濟、環境和社會衝擊,102-30_風險管理程序的有效性,102-31_經濟、環境和社會主題的檢視,102-32_最高治理單位於永續性報導的角色,102-33_溝通重要關鍵議題,102-34_關鍵議題的性質與總數,102-35_薪酬政策,102-36_薪酬決定的流程,102-37_利害關係人的參與,102-38_年度總薪酬比率,102-39_年度總薪酬比率之增加百分比,102-40_利害關係人團體,102-41_團體協約,102-42_鑑別與選擇利害關係人,102-43_與利害關係人溝通的方針,102-44_提出之關鍵主題與關注事項,102-45_合併財務報表中所包含的實體,102-46_界定報告書內容與主題邊界,102-47_重大主題表列,102-48_資訊重編,102-49_報導改變,102-50_報導期間,102-51_上一次報告書的日期,102-52_報導週期,102-53_可回答報告書相關問題的聯絡人,102-54_依循GRI準則報導的宣告,102-55_GRI內容索引,102-56_外部保證/確信,103-1_解釋重大主題及其邊界,103-2_管理方針及其要素,103-3_管理方針的評估,201-1_組織所產生及分配的直接經濟價值,201-2_氣候變遷所產生的財務影響及其他風險與機會,201-3_定義福利計畫義務與其他退休計畫,201-4_取自政府之財務補助,202-1_不同性別的基層人原標準薪資與當地最低薪資的比率,202-2_雇用當地居民為高階管理階層的比例,203-1_基礎設施的投資與支援服務的發展及衝擊,203-2_顯著的間接經濟衝擊,204-1_來自當地供應商的採購支出比例,205-1_已進行貪腐風險評估的營運據點,205-2_有關反貪腐政策和程序的溝通及訓練,205-3_已確認的貪腐事件及採取的行動,206-1_涉及反競爭行為、反托拉斯和壟斷行為的法律責任,301-1_所用物料的重量或體積,301-2_使用的可再生物料,301-3_回收產品及其包材,302-1_組織內部的能源消耗量,302-2_組織外部的能源消耗量,302-3_能源密集度,302-4_減少能源消耗,302-5_降低產品和服務的能源需求,303-1_依來源劃分的取水量,303-2_因取水而受顯著影響的水源,303-3_回收及再利用的水,304-1_組織所擁有、租賃、管理的營運據點或其鄰近地區位於環境保護區或其它高生物多樣性價值的地區,304-2_活動、產品及服務.對生物多樣性方面的顯著衝擊,304-3_受保護或復育的棲息地,304-4_受營運影響的棲息地中.已被列入IUCN紅色名錄及國家保育名錄的物種,305-1_直接(範疇一)溫室氣體排放,305-2_能源間接(範疇二)溫室氣體排放,305-3_其他間接(範疇三)溫室氣體排放,305-4_溫室氣體排放密集度,305-5_溫室氣體排放量,305-6_破壞臭氧層物質的排放,305-7_氮氧化物(NOx)、硫氧化物(SOx).及其他重大的氣體排放,306-1_依水質及排放目的地所劃分的排放水量,306-2_按類別及處置方法劃分的廢棄物,306-3_嚴重洩漏,306-4_廢棄物運輸,306-5_受放流水及其他(地表)逕流放而影響的水體,307-1_違反環保法規,308-1_採用環境標準篩選新供應商,308-2_供應鏈對環境的負面衝擊.以及所採取的行動,401-1_新進員工和離職員工,401-2_提供給全職員工(不包含臨時或兼職員工)的福利,401-3_育嬰假,402-1_關於營運變化的最短預告期,403-1_由勞資共同組成正式的安全衛生委員會中的工作者代表,403-2_傷害類別.傷害、職業病、損工日數、缺勤等比率. 以及因公死亡件數,403-3_與其職業有關之疾病高發生率與高風險的工作者,403-4_工會正式協定中納入健康與安全相關議題,404-1_每名員工每年接受訓練的平均時數,404-2_提升員工職能及過度協助方案,404-3_定期接受績效及職業發展檢核的員工百分比,405-1_治理單位與員工的多元化,405-2_女性對男性基本薪資加薪酬的比率,406-1_歧視事件以及組織採取的改善行動,407-1_可能面臨結社自由及團體協商風險的營運據點或供應商,408-1_營運據點和供應商使用童工之重大風險,409-1_具強迫或強制勞動事件重大風險的營運據點和供應商,410-1_保全人員接受人權政策或程序訓練,411-1_涉及侵害原住民權利的事件,412-1_接受人權檢視或人權衝擊評估的營運活動,412-2_人權政策或程序的員工訓練,412-3_載有人權條款或已進行人權審查的重要投資協議及合約,413-1_經當地社區溝通、衝擊評估和發展計畫的營運活動,413-2_對當地社區具有顯著實際或潛在負面衝擊的營運活動,414-1_使用社會標準篩選之新供應商,414-2_供應鏈中負面的社會衝擊以及所採取的行動,415-1_政治捐獻,416-1_評估產品和服務類別對健康和安全的衝擊,416-2_違反有關產品與服務的健康和安全法規之事件,417-1_產品和服務資訊與標示的要求,417-2_未遵循產品與服務之資訊與標示法規的事件,417-3_未遵循行銷傳播相關法規的事件,418-1_經證實侵犯客戶隱私或遺失客戶資料的投訴,419-1_違反社會與經濟領域之法律和規定,303-1(2018)_共享水資源之相互影響,303-2(2018)_與排水相關衝擊的管理,303-3(2018)_取水量,303-4(2018)_排水量,303-5(2018)_耗水量,403-1(2018)_職業安全衛生管理系統,403-2(2018)_危害辨識、風險評估、及事故調查,403-3(2018)_職業健康服務,403-4(2018)_有關職業安全衛生之工作者參與、諮商與溝通,403-5(2018)_揭有關職業安全衛生之工作者訓練,403-6(2018)_工作者健康促進,403-7(2018)_預防和減輕與業務關係直接相關聯之職業安全衛生的衝擊,403-8(2018)_職業安全衛生管理系統所涵蓋之工作者,403-9(2018)_職業傷害,403-10(2018)_職業病,207-1(2019)_稅務方針,207-2(2019)_稅務治理、管控與風險管理,207-3(2019)_稅務相關議題之利害關係人溝通與管理,207-4(2019)_國別報告
三陽工業股份有限公司,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三福化工股份有限公司,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三顧股份有限公司,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中宇環保工程股份有限公司,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
上福全球科技股份有限公司,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
上銀科技股份有限公司,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
上緯國際投資控股股份有限公司,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上曜建設開發股份有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
千附實業股份有限公司,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中聯資源股份有限公司,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
大台北區瓦斯股份有限公司,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大立光電股份有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大立高分子工業股份有限公司,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
大同股份有限公司,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
